season,PLAYER_ID,player,team,minutes,impact_off,impact_def,impact_total,sd_off,sd_def,waa_off,waa_def,waa_total,booker_score,booker_off,booker_def,rank
2018,201586,Serge Ibaka,TOR,1900,-0.16,-0.36,-0.52,1.36,1.421,-0.23,-0.5,-0.73,-0.5,-0.16,-0.34,188
2018,201587,Nicolas Batum,CHO,1791,0.51,0.15,0.65,1.463,1.485,0.66,0.19,0.85,0.63,0.49,0.14,85
2018,201588,George Hill,SAC,1670,2.04,2.01,4.04,1.345,1.412,2.44,2.4,4.84,3.87,1.95,1.92,29
2018,201596,Mario Chalmers,MEM,1221,-0.56,-0.55,-1.11,1.312,1.44,-0.5,-0.49,-0.99,-1.06,-0.54,-0.53,207
2018,201599,DeAndre Jordan,LAC,2135,0.73,2.73,3.46,1.255,1.44,1.17,4.41,5.58,3.31,0.7,2.61,25
2018,201601,Luc Mbah a Moute,HOU,1378,-1.03,0.65,-0.38,1.113,1.463,-1.09,0.68,-0.4,-0.36,-0.98,0.62,161
2018,201609,Goran Dragic,MIA,2132,1.3,0.28,1.58,1.358,1.395,2.12,0.46,2.58,1.51,1.24,0.27,51
2018,201933,Blake Griffin,LAC,1722,2.23,1.65,3.88,1.535,1.477,2.9,2.14,5.04,3.7,2.13,1.57,26
2018,201935,James Harden,HOU,2252,6.56,1.23,7.78,1.577,1.491,11.33,2.12,13.45,7.44,6.27,1.17,5
2018,201936,Tyreke Evans,MEM,1419,-0.02,-0.08,-0.11,1.592,1.531,-0.02,-0.08,-0.11,-0.1,-0.02,-0.08,136
2018,201937,Ricky Rubio,UTA,2022,-0.58,1.71,1.14,1.401,1.57,-0.86,2.55,1.69,1.09,-0.55,1.64,62
2018,201939,Stephen Curry,GSW,1413,8.09,2.61,10.7,1.588,1.39,8.51,2.75,11.25,10.23,7.73,2.5,7
2018,201942,DeMar DeRozan,TOR,2418,2.02,-0.08,1.95,1.554,1.371,3.57,-0.14,3.44,1.86,1.93,-0.07,42
2018,201949,James Johnson,MIA,1728,0.35,0.85,1.2,1.407,1.416,0.46,1.13,1.59,1.15,0.33,0.81,64
2018,201950,Jrue Holiday,NOP,2603,1.38,2.42,3.8,1.476,1.512,2.53,4.44,6.97,3.63,1.32,2.31,20
2018,201952,Jeff Teague,MIN,2112,0.47,0.3,0.77,1.372,1.462,0.73,0.46,1.19,0.74,0.45,0.28,76
2018,201954,Darren Collison,IND,1847,0.58,0.17,0.75,1.356,1.4,0.79,0.23,1.02,0.71,0.55,0.16,80
2018,201956,Omri Casspi,GSW,642,-0.0,-0.82,-0.82,1.351,1.515,-0.0,-0.39,-0.39,-0.78,-0.0,-0.78,159
2018,201959,Taj Gibson,MIN,2491,-0.71,0.07,-0.64,1.283,1.419,-1.3,0.13,-1.16,-0.61,-0.68,0.07,217
2018,201960,DeMarre Carroll,BRK,1916,-0.8,0.57,-0.22,1.34,1.472,-1.17,0.84,-0.33,-0.21,-0.76,0.55,156
2018,201961,Wayne Ellington,MIA,1743,-0.93,-0.75,-1.68,1.353,1.456,-1.24,-1.0,-2.24,-1.6,-0.89,-0.71,284
2018,201967,Dante Cunningham,NOP,1367,-0.97,-1.39,-2.36,1.112,1.573,-0.93,-1.34,-2.27,-2.25,-0.93,-1.33,285
2018,201973,Jonas Jerebko,UTA,1009,-0.48,-0.63,-1.11,1.212,1.55,-0.36,-0.47,-0.83,-1.07,-0.46,-0.6,196
2018,201975,Jodie Meeks,WAS,997,-1.02,-2.21,-3.23,1.486,1.441,-0.73,-1.59,-2.33,-3.08,-0.97,-2.11,288
2018,201976,Patrick Beverley,LAC,298,-0.27,1.05,0.78,1.278,1.419,-0.06,0.24,0.18,0.75,-0.25,1.0,123
2018,201980,Danny Green,SAS,1619,-0.26,1.37,1.12,1.211,1.442,-0.32,1.69,1.38,1.07,-0.25,1.31,71
2018,201988,Patty Mills,SAS,1816,1.17,0.2,1.37,1.381,1.458,1.61,0.28,1.89,1.31,1.11,0.2,59
2018,202066,Garrett Temple,SAC,1420,-1.03,-0.5,-1.53,1.122,1.428,-1.05,-0.51,-1.56,-1.47,-0.99,-0.48,244
2018,202083,Wesley Matthews,DAL,1875,0.6,0.64,1.24,1.266,1.402,0.84,0.9,1.73,1.18,0.57,0.61,61
2018,202322,John Wall,WAS,1269,2.24,2.18,4.42,1.372,1.414,2.06,2.0,4.05,4.22,2.14,2.08,35
2018,202323,Evan Turner,POR,1825,-0.34,-0.54,-0.89,1.277,1.408,-0.45,-0.71,-1.16,-0.85,-0.33,-0.52,218
2018,202324,Derrick Favors,UTA,1937,1.32,1.45,2.78,1.402,1.352,1.89,2.07,3.96,2.65,1.26,1.39,36
2018,202325,Wesley Johnson,LAC,1329,-0.24,-0.33,-0.58,1.159,1.469,-0.24,-0.34,-0.58,-0.55,-0.23,-0.32,175
2018,202326,DeMarcus Cousins,NOP,1574,1.98,3.55,5.53,1.391,1.373,2.19,3.94,6.14,5.28,1.89,3.4,23
2018,202327,Ekpe Udoh,UTA,706,-0.09,-0.24,-0.34,1.493,1.928,-0.05,-0.13,-0.18,-0.32,-0.09,-0.23,145
2018,202328,Greg Monroe,BOS,910,1.7,0.63,2.34,1.404,1.483,1.12,0.41,1.53,2.23,1.63,0.6,66
2018,202329,Al-Farouq Aminu,POR,1867,-0.46,0.66,0.2,1.252,1.472,-0.61,0.89,0.27,0.2,-0.44,0.63,115
2018,202331,Paul George,OKC,2575,2.91,2.14,5.05,1.428,1.467,5.7,4.19,9.9,4.82,2.78,2.04,9
2018,202334,Ed Davis,POR,1337,0.18,0.22,0.4,1.188,1.474,0.17,0.21,0.38,0.38,0.17,0.21,108
2018,202335,Patrick Patterson,OKC,1110,0.51,1.69,2.2,1.134,1.427,0.43,1.43,1.86,2.11,0.49,1.62,60
2018,202337,Luke Babbitt,ATL,615,-0.83,-0.55,-1.37,1.292,1.557,-0.36,-0.24,-0.59,-1.31,-0.79,-0.52,176
2018,202339,Eric Bledsoe,MIL,2021,1.68,1.07,2.75,1.387,1.347,2.57,1.64,4.22,2.62,1.6,1.02,34
2018,202340,Avery Bradley,DET,1234,0.02,-1.09,-1.07,1.406,1.428,0.02,-1.03,-1.01,-1.02,0.02,-1.05,209
2018,202344,Trevor Booker,PHI,1021,-0.12,-0.74,-0.85,1.321,1.518,-0.09,-0.59,-0.68,-0.82,-0.11,-0.7,184
2018,202355,Hassan Whiteside,MIA,1221,1.27,2.07,3.34,1.435,1.444,1.19,1.94,3.13,3.19,1.21,1.98,46
2018,202357,Nemanja Bjelica,MIN,1273,-0.8,-0.44,-1.24,1.253,1.615,-0.74,-0.41,-1.15,-1.19,-0.76,-0.42,216
2018,202362,Lance Stephenson,IND,1665,-1.38,-2.07,-3.45,1.45,1.493,-1.71,-2.56,-4.27,-3.3,-1.32,-1.98,321
2018,202389,Timofey Mozgov,BRK,344,-0.76,1.49,0.72,1.342,1.418,-0.2,0.39,0.19,0.69,-0.73,1.42,122
2018,202397,Ish Smith,DET,1760,-0.17,-0.25,-0.42,1.367,1.445,-0.23,-0.34,-0.56,-0.4,-0.16,-0.24,172
2018,202498,Lance Thomas,NYK,1195,-1.68,-3.1,-4.78,1.156,1.497,-1.53,-2.83,-4.36,-4.57,-1.6,-2.96,323
2018,202681,Kyrie Irving,BOS,1708,2.23,0.67,2.9,1.477,1.366,2.75,0.82,3.57,2.77,2.13,0.64,41
